file,bytes,sha256,width_px,height_px,dpi_x,dpi_y
README.md,366,6c7da305475d9e80a17e841c2470773e914444071cd3b9140c36958e55ab9084,,,,
captions/FIGURE_CAPTIONS_EN.md,3258,faaa6571a2c14b4b6a4bd4e8d948147be76aff8ba38f67af8398a8eb4d77e9a7,,,,
captions/FIGURE_CAPTIONS_ZH.md,3009,543f20cbd4abab551b2e7b78add96d1c820bd19b5794f002d77a8081f2271b58,,,,
main_en/figure1_study_design_en.pdf,18064,d9b1b608dde41ecc750673dba35a21400bdeaf690f79cb2e74a23806f4512895,,,,
main_en/figure1_study_design_en.png,272065,0acec0ef933309c917cbc37160083bbb3ccfd53e7891b6e119c213f862a806c6,2537.0,1677.0,299.9994,299.9994
main_en/figure1_study_design_en.svg,83080,92b37594f29600cac8ec62ae850897790878a151f7fb7bdeabc67d0a1f96745b,,,,
main_en/figure2_event_timeline_en.pdf,99253,89d0fbf7787b36801d0c18256bb7aa4067fe634f4beefe9a1e0e4a35fedfa94a,,,,
main_en/figure2_event_timeline_en.png,343590,b3063825e1588fda47a9c7be227972571c46edda0db4edbaae60f4ea32904840,3874.0,2073.0,299.9994,299.9994
main_en/figure2_event_timeline_en.svg,118051,f55f8abb627a78c8cf9118a30647981e16114f610643f6522797007fa62e60aa,,,,
main_en/figure3_power_itdk_en.pdf,51052,02e0373e55925e6940efb802dc60613bfc7f64f55389e78b8f7bba6e0888377f,,,,
main_en/figure3_power_itdk_en.png,117280,3e551490fd80e389e432ade958c9f66e92d37fe5f3ac7c09299ff84d54308d37,2161.0,1381.0,299.9994,299.9994
main_en/figure3_power_itdk_en.svg,63951,3f725144fcee1425c4d196c67bdb57dadfa0a8840167a1310c4272724f08d58b,,,,
main_en/figure4_normal_vs_power_en.pdf,63947,73534a988380b53b486818ce4e97fa567375d7fff78f24cfafb5855013614f09,,,,
main_en/figure4_normal_vs_power_en.png,140720,5d00a53562a14e25b3942184ef00be6e99ff256e23a29b94477c793c54d482b3,2161.0,1381.0,299.9994,299.9994
main_en/figure4_normal_vs_power_en.svg,84867,ec52f35ab0c304ea4c61db913005de047b589cf64b321a6ee4d825e97046ea2d,,,,
main_en/figure5_roc_en.pdf,20680,c753a15aa6747e6117d4afbf64f82335b13f30f37d53228138b6020e7b4ec088,,,,
main_en/figure5_roc_en.png,156194,2cb17b94bf0c78d2b8a2ee3dec101f3aa596c3e6d19a179d8aeab52d0ccffab8,2160.0,1380.0,299.9994,299.9994
main_en/figure5_roc_en.svg,47130,b282cbd7f54a8c44ae5c4e16abd9cee6f96987bda50d305d787593d356ef7838,,,,
main_en/figure6_pr_en.pdf,16506,aa95d97c2599cafc05d267049b7691f24a10673cb3fdaf1a7042c4f9694ead4d,,,,
main_en/figure6_pr_en.png,98600,396b5a6a19112a3fb7e11e0f32a0a2ed2cd1cc49dbc2880ec552f3916797d92f,2138.0,1416.0,299.9994,299.9994
main_en/figure6_pr_en.svg,46188,c740198d0b6b7e664e5f339ac8faa792b30bb470fea2454eb047df6010064390,,,,
main_en/figure7_itdk_snapshot_robustness_en.pdf,18297,b963b47f3ccdf636a7a87accad8bb1b748de9dc00e725cb20f9f793929c7be16,,,,
main_en/figure7_itdk_snapshot_robustness_en.png,117978,2f97eef834f1a0207a121a74c4b6b7323de2b53db5415c1d48501fac62888c84,2151.0,1237.0,299.9994,299.9994
main_en/figure7_itdk_snapshot_robustness_en.svg,49445,ece26551f5c8700c0d8df57acb51533ba5c9624b906e899193206895be60a9f8,,,,
main_zh/figure1_study_design_zh.pdf,68555,f9ce818e664eac737ab1839f37758cdd52d166dd42efa38056ad7fc5e2dd9885,,,,
main_zh/figure1_study_design_zh.png,251416,2e4c7fdcc6c602a986214c462e9730be663c753f9c1cd1df402b440199c31d4e,2501.0,1677.0,299.9994,299.9994
main_zh/figure1_study_design_zh.svg,133943,00a2dea9c506fdfcf247e1f67d6b64ec103744ba05d7f417ec6ad9b371c56c86,,,,
main_zh/figure2_event_timeline_zh.pdf,119629,924e84aa13948969f6090e174cc6fe811a6278adaeef238ef3220221d6282098,,,,
main_zh/figure2_event_timeline_zh.png,344329,dfe3fa02a4ec07e1386fa2e2090e2090a098aa770eaea41f86b9a8dae61de1c1,3869.0,2071.0,299.9994,299.9994
main_zh/figure2_event_timeline_zh.svg,180208,7a83d11b75c1e0f72f36f484435b19d43ffd7e0b5a4051d24f78761ceb22fc14,,,,
main_zh/figure3_power_itdk_zh.pdf,52092,cfaed8d9505c972bad7461b832eb91e07a3b40cd467a0825bab327df65aaae2e,,,,
main_zh/figure3_power_itdk_zh.png,107286,86ef4762df08f89e10b975392fd117ff01a1a73100dabedd4680d9de7da7b3a4,2161.0,1381.0,299.9994,299.9994
main_zh/figure3_power_itdk_zh.svg,68967,9bb5a2791a17c6dba03d3609fcb12fa55dfd2a444de1e973b69d7a286d29a3e6,,,,
main_zh/figure4_normal_vs_power_zh.pdf,70331,5291c4f54dbe00ddb7ce5a2b5796d30cd227007f08d51693e47c7a385539d150,,,,
main_zh/figure4_normal_vs_power_zh.png,129854,07f1dce91620ff1c2595e5315d2e45dedc7e37320120de9f866081228a0ede33,2161.0,1381.0,299.9994,299.9994
main_zh/figure4_normal_vs_power_zh.svg,97088,230f5879ae9f7e12906da7251d8c1b41024a93afa013837e352f8427fb1c1942,,,,
main_zh/figure5_roc_zh.pdf,24851,9d8b434ea4cd27383713e52441f5979fb1959ff9c683971871cab2b26998f77a,,,,
main_zh/figure5_roc_zh.png,154626,ee3c751f43b7c583ed0ad7b48022023ac55e22baf3fc85658c081cd00cb45c44,2160.0,1380.0,299.9994,299.9994
main_zh/figure5_roc_zh.svg,51605,48c13d72d32f2a90c4451eef95985a2e7801e5fa679fdb97ae7abaf6e2eb559e,,,,
main_zh/figure6_pr_zh.pdf,26428,74a3ed80fda988f68e654375e452af9e0e0f0138c51d58d099e2f403e7c0dcd2,,,,
main_zh/figure6_pr_zh.png,99534,dc30d09d4d1eef1d8669b3b04410d4548adb784282c4d59c41ad12487f8e6a4c,2136.0,1416.0,299.9994,299.9994
main_zh/figure6_pr_zh.svg,57835,cf17f9a737fbcfc84199a1a80e1cf173f74147fff3f73c81c41eb99178ff8019,,,,
main_zh/figure7_itdk_snapshot_robustness_zh.pdf,28751,51127c8e0738f02eeb989449a7fc2e9ae6edca377b8dd6d2100ed8961d2c12b7,,,,
main_zh/figure7_itdk_snapshot_robustness_zh.png,120252,88fd3bba16653ebad45b5365891a527fd4c08571bf84651372b017c783933ce4,2148.0,1240.0,299.9994,299.9994
main_zh/figure7_itdk_snapshot_robustness_zh.svg,62087,d871acfbbd8a690389e48dd86bd0f550306f690f9cbd79429e201983acc8c378,,,,
methods/CURRENT_METHOD_PROVENANCE.md,791,e5bcbd110ceb26508a644e70da1c8f1766f8c924302469186c842b8a8df2828f,,,,
qa/CURRENT_MANUSCRIPT_QA.md,1341,4d33819450e1bd1f2f19bc1e4c5cbc76765df96489e6992507b79b0960746fd1,,,,
qa/FIGURE2_GEOMETRY_AUDIT.csv,58,517512a3340ba8f9670959cfd1edb989b9c593cb320865e8cc474d661ebf4886,,,,
qa/FIGURE6_PR_AP_IDENTITY.csv,259,61d24fee2523332a8904acb3c076300bf8f20492f0477b4a651abc4b1b111c8d,,,,
qa/FROZEN_BIN_GEOMETRY_IDENTITY.csv,101,be61ab40f8d9b11c519e94625601b36d637008328cecad0edf755025e3e9da58,,,,
qa/FROZEN_VALUE_IDENTITY.csv,565,d3f0e7d7ac236f173a7965c8ca7b3c8ff2f1ed4546ae049d2cd8f5aa5a334a98,,,,
qa/LEGACY_MANUSCRIPT_PATHS.md,242,74a9b50cb9b54546604287d3e2580688127bde3e5f180dd33c678d5c9905f512,,,,
supplement_en/S1_router_evidence_en.pdf,16098,f9bf7685bed0c195b7cc67db735dadb510a91737d0cc87b6f76d93d41ccf3d42,,,,
supplement_en/S1_router_evidence_en.png,77338,1b6805aa8979cfb2d436698749b5526749a3bbb2fefbaac83229a2d03972fc5c,1897.0,1176.0,299.9994,299.9994
supplement_en/S1_router_evidence_en.svg,41217,6167fb2ae8657240a75c6e2b875f60d3fdc8b6843760a6ab852297cbd41b8d57,,,,
supplement_en/S2_own_traceroute_en.pdf,16859,8eb6bf85b55f77927aead933c23496ebca1ee4bf9495ddb61f534475991c77ff,,,,
supplement_en/S2_own_traceroute_en.png,85217,b91cfad2d56f97f59b37896cecba4f3482ba6d60a4bc54a1564ac693266f6c9b,1897.0,1177.0,299.9994,299.9994
supplement_en/S2_own_traceroute_en.svg,43504,2fa54acf449c6887d13b3c98fda2a3758b176b28efbf7f5f35eca873cf8671a0,,,,
supplement_en/S3_H1_repeatability_NOT_GENERATED_en.md,220,ea9fe66bf62b3613988c9e03cd74eefaa66c41ff0fc05a544c18c27d395aa440,,,,
supplement_zh/S1_router_evidence_zh.pdf,23840,04826fcda8567701a4546f57d848f3f8a52c657f6ed21a324b35a36564b85d50,,,,
supplement_zh/S1_router_evidence_zh.png,77395,f651f8a4ee557af40c6f0dd2aa146c9a9b4b6885d2723f4e5cb12cdd4da072f4,1898.0,1176.0,299.9994,299.9994
